Compare C:\Projects\Marilo\docs\component-specs with C:\Projects\blazor-docs\components
4/14/2026 9:30:23 AM
Filename,Folder,Comparison Result,Left Date,Right Date,Extension,Differences,Prediffer
column.md,chart\types,Text files are different,* 4/13/2026 12:16:51 PM,  3/29/2026 7:36:44 PM,md,9,
donut.md,chart\types,Text files are different,* 4/13/2026 12:16:51 PM,  3/29/2026 7:36:44 PM,md,31,
heatmap.md,chart\types,Text files are different,* 4/13/2026 12:16:51 PM,  3/29/2026 7:36:44 PM,md,17,
line.md,chart\types,Text files are different,* 4/13/2026 12:16:51 PM,  3/29/2026 7:36:44 PM,md,10,
ohlc.md,chart\types,Text files are different,* 4/13/2026 12:16:51 PM,  3/29/2026 7:36:44 PM,md,6,
pie.md,chart\types,Text files are different,* 4/13/2026 12:16:51 PM,  3/29/2026 7:36:44 PM,md,21,
radar-area.md,chart\types,Text files are different,* 4/13/2026 12:16:51 PM,  3/29/2026 7:36:44 PM,md,9,
radar-column.md,chart\types,Text files are different,* 4/13/2026 12:16:51 PM,  3/29/2026 7:36:44 PM,md,6,
radar-line.md,chart\types,Text files are different,* 4/13/2026 12:16:51 PM,  3/29/2026 7:36:44 PM,md,5,
rangearea.md,chart\types,Text files are different,* 4/13/2026 12:16:51 PM,  3/29/2026 7:36:44 PM,md,13,
rangebar.md,chart\types,Text files are different,* 4/13/2026 12:16:51 PM,  3/29/2026 7:36:44 PM,md,10,
rangecolumn.md,chart\types,Text files are different,* 4/13/2026 12:16:51 PM,  3/29/2026 7:36:44 PM,md,14,
scatter.md,chart\types,Text files are different,* 4/13/2026 12:16:51 PM,  3/29/2026 7:36:44 PM,md,9,
scatterline.md,chart\types,Text files are different,* 4/13/2026 12:16:51 PM,  3/29/2026 7:36:44 PM,md,12,
waterfall.md,chart\types,Text files are different,* 4/13/2026 12:16:51 PM,  3/29/2026 7:36:44 PM,md,7,
data-bind.md,chart,Text files are different,* 4/13/2026 12:16:51 PM,  3/29/2026 7:36:44 PM,md,21,
date-axis.md,chart,Text files are different,* 4/13/2026 12:16:51 PM,  3/29/2026 7:36:44 PM,md,10,
drilldown.md,chart,Text files are different,* 4/13/2026 12:16:51 PM,  3/29/2026 7:36:44 PM,md,6,
events.md,chart,Text files are different,* 4/13/2026 12:16:51 PM,  3/29/2026 7:36:44 PM,md,17,
labels-template-and-format.md,chart,Text files are different,* 4/13/2026 12:16:51 PM,  3/29/2026 7:36:44 PM,md,19,
legend.md,chart,Text files are different,* 4/13/2026 12:16:51 PM,  3/29/2026 7:36:44 PM,md,5,
multiple-axes.md,chart,Text files are different,* 4/13/2026 12:16:51 PM,  3/29/2026 7:36:44 PM,md,32,
overview.md,chart,Text files are different,* 4/13/2026 12:16:51 PM,  3/29/2026 7:36:44 PM,md,20,
plot-bands.md,chart,Text files are different,* 4/13/2026 12:16:51 PM,  3/29/2026 7:36:44 PM,md,4,
rendering-modes.md,chart,Text files are different,* 4/13/2026 12:16:51 PM,  3/29/2026 7:36:44 PM,md,4,
stacked-series.md,chart,Text files are different,* 4/13/2026 12:16:51 PM,  3/29/2026 7:36:44 PM,md,13,
templates.md,chart,Text files are different,* 4/13/2026 12:16:51 PM,  3/29/2026 7:36:44 PM,md,3,
trendlines.md,chart,Text files are different,* 4/13/2026 12:16:51 PM,  3/29/2026 7:36:44 PM,md,30,
wai-aria-support.md,chat\accessibility,Text files are different,* 3/30/2026 9:08:29 AM,  3/29/2026 7:36:44 PM,md,1,
data-binding.md,chat,Text files are different,* 3/30/2026 9:08:29 AM,  3/29/2026 7:36:44 PM,md,3,
events.md,chat,Text files are different,* 3/30/2026 9:08:29 AM,  3/29/2026 7:36:44 PM,md,2,
file-uploads-and-media.md,chat,Text files are different,* 3/30/2026 9:08:29 AM,  3/29/2026 7:36:44 PM,md,1,
integrations.md,chat,Text files are different,* 3/30/2026 9:08:29 AM,  3/29/2026 7:36:44 PM,md,3,
overview.md,chat,Text files are different,* 3/30/2026 9:08:29 AM,  3/29/2026 7:36:44 PM,md,2,
quick-actions.md,chat,Text files are different,* 3/30/2026 9:08:29 AM,  3/29/2026 7:36:44 PM,md,3,
wai-aria-support.md,checkbox\accessibility,Text files are different,* 3/30/2026 9:08:29 AM,  3/29/2026 7:36:44 PM,md,1,
appearance.md,checkbox,Text files are different,* 3/30/2026 9:08:29 AM,  3/29/2026 7:36:44 PM,md,4,
events.md,checkbox,Text files are different,* 3/30/2026 9:08:29 AM,  3/29/2026 7:36:44 PM,md,2,
overview.md,checkbox,Text files are different,* 3/30/2026 9:08:29 AM,  3/29/2026 7:36:44 PM,md,2,
wai-aria-support.md,chip\accessibility,Text files are different,* 3/30/2026 9:08:29 AM,  3/29/2026 7:36:44 PM,md,1,
appearance.md,chip,Text files are different,* 3/30/2026 9:08:29 AM,  3/29/2026 7:36:44 PM,md,2,
overview.md,chip,Text files are different,* 3/30/2026 9:08:29 AM,  3/29/2026 7:36:44 PM,md,1,
wai-aria-support.md,chiplist\accessibility,Text files are different,* 3/30/2026 9:08:29 AM,  3/29/2026 7:36:44 PM,md,1,
appearance.md,chiplist,Text files are different,* 3/30/2026 9:08:29 AM,  3/29/2026 7:36:44 PM,md,1,
data-bind.md,chiplist,Text files are different,* 3/30/2026 9:08:29 AM,  3/29/2026 7:36:44 PM,md,2,
overview.md,chiplist,Text files are different,* 3/30/2026 9:08:29 AM,  3/29/2026 7:36:44 PM,md,1,
